customer_id,week,salary_delay_days,savings_balance,discretionary_spend,utility_payment_delay_days,atm_withdrawals,failed_autodebits,lending_app_txns,liquidity_ratio,stress_type,default_next_30_days
1,1,1,68061.53999581073,11340.38318984695,3,2,0,1,5.8034623334878885,Stable,0
1,2,0,68386.25269425554,10998.728938289802,3,5,0,1,5.831149892640174,Stable,0
1,3,0,68403.29683120917,10518.786876649272,5,4,0,1,5.832603209841391,Stable,0
1,4,1,67964.24550553437,7582.21255219621,5,5,0,0,5.795166239840735,Stable,0
1,5,0,67675.53927100947,9667.299589073653,2,5,0,1,5.770548875061573,Stable,0
1,6,0,68727.36417210916,5351.27732962144,6,2,0,0,5.86023574073244,Stable,0
1,7,0,68605.27763252387,12160.177109001668,4,4,0,0,5.849825681924592,Stable,0
1,8,0,69226.82089381908,6379.124130351937,0,1,0,0,5.902823350002365,Stable,0
1,9,1,69203.42403212214,9706.201353155127,7,1,0,1,5.900828349513272,Stable,0
1,10,0,69415.31728350872,13309.127127735908,9,3,0,1,5.9188960350698725,Stable,0
1,11,1,68914.23895095188,9454.129310807879,9,1,0,0,5.876170154502088,Stable,0
1,12,0,69862.27419877969,12012.687987855828,0,3,0,0,5.957007097831995,Stable,0
2,1,0,43716.16850480502,7479.09347648414,8,3,0,1,4.270773772496281,Stable,0
2,2,0,43441.77177774687,3835.372796776688,9,1,0,1,4.243967069501485,Stable,0
2,3,1,43435.32349785338,6093.072506722053,8,3,0,0,4.24333711620071,Stable,0
2,4,1,43689.841381281374,5150.1792773729385,4,3,0,1,4.268201790721673,Stable,0
2,5,0,44308.281218616874,4232.615364400424,9,3,0,0,4.32861917695416,Stable,0
2,6,1,45003.03649692483,7714.71412408446,5,4,0,1,4.396492065232896,Stable,0
2,7,1,44647.13370791578,8600.093987931055,6,0,0,0,4.3617227716546845,Stable,0
2,8,1,45187.987854227445,3312.592287177488,5,3,0,1,4.414560561008521,Stable,0
2,9,0,44791.59965312157,3392.5107252893854,2,1,0,1,4.37583611669168,Stable,0
2,10,1,44779.87657417955,7238.249947116015,4,5,0,0,4.374690851226044,Stable,0
2,11,0,44649.93851441432,6070.150181279193,1,3,0,0,4.361996782265416,Stable,0
2,12,1,45325.23202452488,4566.168745019075,9,5,0,0,4.427968387517147,Stable,0
3,1,2,213190.35551551604,14344.324745816048,3,5,0,0,6.227768596616545,Moderate,0
3,2,1,207465.02986018435,38604.89416425655,1,1,0,0,6.060518988933975,Moderate,0
3,3,1,197837.7581149096,36386.13061439603,5,1,0,1,5.779284781592207,Moderate,0
3,4,2,187734.57767126162,23177.146936096444,9,3,0,0,5.4841482134263835,Moderate,0
3,5,3,184376.6484471824,27183.401853073094,7,0,0,1,5.386055566970528,Moderate,0
3,6,2,178448.24321654256,26257.965244827443,6,2,0,1,5.212873549265656,Moderate,0
3,7,1,166980.88104251094,16398.8954620844,1,0,0,1,4.877886172089183,Moderate,0
3,8,1,156941.31527401393,21855.996983125617,2,1,0,1,4.584607931309845,Moderate,0
3,9,3,146919.36069854826,37600.996829472286,1,4,0,0,4.291844152991271,Moderate,0
3,10,2,142760.82329536008,23906.89777700688,9,3,0,1,4.170363945386168,Moderate,0
3,11,3,137750.38831612974,24236.490488145373,4,4,0,0,4.023997898274957,Moderate,0
3,12,3,135540.1743952325,16879.882825842593,1,1,0,1,3.9594325908290164,Moderate,0
4,1,6,237779.08550012746,20504.789278022792,4,5,1,0,4.460716457578326,Severe,0
4,2,6,186387.51910897458,16196.93948493181,4,4,1,4,3.496614818867877,Severe,0
4,3,3,167319.73512038594,18895.33935555092,3,4,0,1,3.138904729822219,Severe,0
4,4,3,125710.0914570229,24034.877303134974,0,3,1,0,2.358311172181365,Severe,0
4,5,6,101882.3340429767,33608.4569568254,2,4,1,1,1.9113043657565716,Severe,0
4,6,4,87895.26474889342,35270.042869523226,9,5,2,3,1.6489080744167586,Severe,0
4,7,7,70300.90732700861,37928.86833131307,2,1,2,2,1.3188393488716144,Severe,0
4,8,3,55209.990425430944,26952.024161718215,5,2,1,1,1.035734965484715,Severe,1
4,9,6,49312.62909413748,16396.53781156925,3,0,2,3,0.925100942767975,Severe,1
4,10,4,42915.59884355721,41052.86743959147,1,2,1,2,0.8050931714437197,Severe,1
4,11,3,34286.69139448823,26791.025372536318,8,4,2,1,0.6432155639660783,Severe,1
4,12,6,26889.32702371811,23978.523632773136,9,0,0,1,0.5044416052640622,Severe,0
5,1,0,94225.0650273722,30390.668217660397,9,5,0,0,2.529446350690007,Stable,0
5,2,1,94972.66934519773,32675.127758886916,5,3,0,0,2.549515586120458,Stable,0
5,3,0,95193.1907838342,28183.692622003768,1,0,0,1,2.5554354244145028,Stable,0
5,4,1,96129.91847030417,15104.08285216234,7,2,0,0,2.580581625453934,Stable,0
5,5,1,97639.64465494204,27124.41144155992,9,0,0,0,2.621109815985445,Stable,0
5,6,0,99195.14066164703,26844.15520928859,3,2,0,1,2.6628666849940243,Stable,0
5,7,0,98450.84896779466,38235.924088574095,6,3,0,0,2.64288637605694,Stable,0
5,8,1,99089.94439200894,25729.759816672755,9,5,0,0,2.6600427196270067,Stable,0
5,9,1,98261.38490534844,41290.55934526461,4,4,0,0,2.637800264615125,Stable,0
5,10,0,98662.50804763229,38092.79911568623,1,5,0,1,2.6485683067293166,Stable,0
5,11,1,98557.50962587808,35909.957014586565,6,0,0,1,2.6457496525351565,Stable,0
5,12,0,98555.72418713885,40395.062387186525,4,1,0,1,2.645701722915771,Stable,0
6,1,0,130053.39380133233,20300.848028473796,9,5,0,0,4.538147067970524,Stable,0
6,2,1,131505.8898164798,21824.415220273902,0,3,0,0,4.588831178086478,Stable,0
6,3,0,132699.61125097112,27044.013045854324,0,0,0,0,4.630485480750704,Stable,0
6,4,0,131450.03760016442,14715.395609351866,3,4,0,1,4.586882243388946,Stable,0
6,5,1,131937.9525060429,16883.01007117872,1,0,0,0,4.603907786012724,Stable,0
6,6,1,133031.08175996953,22825.980272316872,0,3,0,1,4.64205197566915,Stable,0
6,7,1,133254.07624934323,29640.937773652375,0,1,0,0,4.649833255023311,Stable,0
6,8,0,135700.77426330184,11904.804720293116,6,3,0,1,4.735209538515129,Stable,0
6,9,1,135478.3375542973,31167.338698839918,7,4,0,1,4.727447722623419,Stable,0
6,10,0,135271.93739432274,16642.733114990326,0,0,0,0,4.720245493958414,Stable,0
6,11,0,137249.30925493207,19062.39307510906,7,2,0,0,4.789244879896928,Stable,0
6,12,0,137349.86398672446,12047.179725921458,3,3,0,1,4.792753686148853,Stable,0
7,1,0,53739.41556975323,20591.346560839458,5,2,0,0,1.7440339457841143,Stable,0
7,2,0,53761.75853931138,21971.592512918887,1,2,0,0,1.7447590541044393,Stable,0
7,3,1,53371.43591624824,11229.529655318107,9,2,0,1,1.732091705618931,Stable,0
7,4,0,52860.45240009378,12862.469969408186,3,2,0,0,1.7155084847472273,Stable,0
7,5,0,53910.400821153606,13369.735134177954,6,0,0,0,1.7495830214394612,Stable,0
7,6,1,53528.14173169353,9434.34609809574,8,4,0,1,1.7371773631152176,Stable,0
7,7,1,54349.8183582413,9491.106112496975,3,2,0,1,1.7638436733823364,Stable,0
7,8,1,54288.00419503913,10026.046193354348,2,3,0,1,1.761837585340406,Stable,0
7,9,0,55132.4746089528,22362.21590639633,6,0,0,0,1.7892436345588634,Stable,0
7,10,0,54629.023017101084,12557.114420381431,7,3,0,0,1.7729048512479666,Stable,0
